Id,age,Industry,job,salary,currency,country,years_field_experience,education,gender,salary_usd,new_currency
0,25-34,Education (Higher Education),Research and Instruction Librarian,55000,USD,United States,5-7 years,Master's degree,Woman,55000.0,USD
1,25-34,Computing or Tech,Change & Internal Communications Manager,54600,GBP,United Kingdom,5-7 years,College degree,Non-binary,71169.462,USD
2,25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,USD,US,2 - 4 years,College degree,Woman,34000.0,USD
3,25-34,Nonprofits,Program Manager,62000,USD,USA,5-7 years,College degree,Woman,62000.0,USD
4,25-34,"Accounting, Banking & Finance",Accounting Manager,60000,USD,US,5-7 years,College degree,Woman,60000.0,USD
5,25-34,Education (Higher Education),Scholarly Publishing Librarian,62000,USD,USA,2 - 4 years,Master's degree,Man,62000.0,USD
6,25-34,Publishing,Publishing Assistant,33000,USD,USA,2 - 4 years,College degree,Woman,33000.0,USD
7,25-34,Education (Primary/Secondary),Librarian,50000,USD,United States,5-7 years,Master's degree,Man,50000.0,USD
8,45-54,Computing or Tech,Systems Analyst,112000,USD,US,21 - 30 years,College degree,Woman,112000.0,USD
9,35-44,"Accounting, Banking & Finance",Senior Accountant,45000,USD,United States,21 - 30 years,College degree,Woman,45000.0,USD
10,25-34,Nonprofits,Office Manager,47500,USD,United States,5-7 years,College degree,Woman,47500.0,USD
11,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,USD,USA,5-7 years,PhD,Woman,62000.0,USD
12,35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,USD,United States,11 - 20 years,College degree,Man,100000.0,USD
13,25-34,Law,Legal Aid Staff Attorney,52000,USD,United States,2 - 4 years,nan,Woman,52000.0,USD
14,18-24,Health care,Patient care coordinator,32000,CAD,Canada,1 year or less,College degree,Woman,25616.320000000003,USD
15,35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000,GBP,United Kingdom ,5-7 years,College degree,Man,31283.28,USD
16,35-44,Business or Consulting,Executive Assistant,85000,USD,USA,8 - 10 years,Some college,Woman,85000.0,USD
17,45-54,Art & Design,graphic designer,59000,USD,usa,21 - 30 years,College degree,Woman,59000.0,USD
18,35-44,Business or Consulting,Senior Manager,98000,USD,USA,2 - 4 years,Master's degree,Woman,98000.0,USD
19,35-44,Education (Higher Education),Assistant Director of Academic Advising,54000,USD,United States,11 - 20 years,Master's degree,Woman,54000.0,USD
20,25-34,Health care,Data Programmer Analyst,74000,USD,USA,5-7 years,Master's degree,Woman,74000.0,USD
21,35-44,Nonprofits,Program Coordinator & Assistant Editor ,50000,USD,United States,2 - 4 years,PhD,Woman,50000.0,USD
22,35-44,Nonprofits,Event Planner,63000,CAD,Canada,8 - 10 years,Master's degree,Woman,50432.130000000005,USD
23,35-44,Government and Public Administration,Researcher,96000,USD,United States,2 - 4 years,PhD,Woman,96000.0,USD
24,25-34,Public Library,Teen Librarian ,44500,USD,US,2 - 4 years,nan,Woman,44500.0,USD
25,35-44,Education (Higher Education),Communications Specialist,60000,USD,USA,1 year or less,Master's degree,Woman,60000.0,USD
26,25-34,Nonprofits,Program Director,62000,USD,US,2 - 4 years,College degree,Man,62000.0,USD
27,35-44,Law,Bookkeeper/Billing Manager,48000,USD,USA,2 - 4 years,College degree,Woman,48000.0,USD
28,35-44,Government and Public Administration,Economist,140000,USD,USA,11 - 20 years,Master's degree,Woman,140000.0,USD
29,25-34,Engineering or Manufacturing,Research Engineer,80000,USD,United States,5-7 years,College degree,Woman,80000.0,USD
30,25-34,Nonprofits,Volunteer and Giving Coordinator,39000,USD,United States,2 - 4 years,College degree,Woman,39000.0,USD
31,35-44,Media & Digital,Editor,125000,USD,USA,8 - 10 years,Master's degree,Woman,125000.0,USD
32,25-34,"Accounting, Banking & Finance",Financial Advisor,230000,USD,USA,11 - 20 years,College degree,Woman,230000.0,USD
33,35-44,"Accounting, Banking & Finance",Accounting Manager,110000,USD,US,11 - 20 years,College degree,Woman,110000.0,USD
34,25-34,Nonprofits,Administrative and HR Manager,50000,USD,United States,2 - 4 years,College degree,Woman,50000.0,USD
35,35-44,Education (Higher Education),Senior IRB Analyst,68000,USD,USA,2 - 4 years,Master's degree,Woman,68000.0,USD
36,18-24,Media & Digital,Reporter,41000,USD,United States,2 - 4 years,College degree,Woman,41000.0,USD
37,25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,USD,United States,2 - 4 years,College degree,Woman,76000.0,USD
38,35-44,Government and Public Administration,Staff Services Manager II,78000,USD,USA,5-7 years,Master's degree,Woman,78000.0,USD
39,25-34,"Accounting, Banking & Finance",Receptionist,37000,USD,USA,2 - 4 years,College degree,Woman,37000.0,USD
40,45-54,Engineering or Manufacturing,Lead Engineer,100000,USD,USA,21 - 30 years,College degree,Woman,100000.0,USD
41,35-44,"Marketing, Advertising & PR",Senior Copywriter,35000,GBP,UK,11 - 20 years,College degree,Woman,45621.45,USD
42,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,USD,USA,5-7 years,College degree,Man,65000.0,USD
43,25-34,Computing or Tech,Principal Software Engineer,187500,USD,United States,5-7 years,College degree,Woman,187500.0,USD
44,25-34,Computing or Tech,Intelligence Analyst,110000,USD,USA,8 - 10 years,Master's degree,Man,110000.0,USD
45,25-34,Nonprofits,Project Manager,66625,USD,US,8 - 10 years,College degree,Woman,66625.0,USD
46,35-44,Computing or Tech,Mobile developer,144600,USD,USA,5-7 years,PhD,Woman,144600.0,USD
47,35-44,Computing or Tech,Product Design Director,200850,USD,USA,11 - 20 years,College degree,Woman,200850.0,USD
48,25-34,Engineering or Manufacturing,Engineering specialist,120000,CAD,Canada,8 - 10 years,College degree,Woman,96061.20000000001,USD
49,25-34,Retail,"Manager, Total Rewards",97500,CAD,Canada,8 - 10 years,College degree,Woman,78049.725,USD
50,35-44,Education (Higher Education),Research and Development Engineer 3,96000,USD,United States,5-7 years,PhD,Woman,96000.0,USD
51,25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,USD,United States,1 year or less,Master's degree,Woman,53000.0,USD
52,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,USD,United States,8 - 10 years,College degree,Woman,95000.0,USD
53,35-44,Computing or Tech,Managed Services Sales Coordinator,72000,USD,United States,5-7 years,Master's degree,Woman,72000.0,USD
54,35-44,Media & Digital,Editor,52000,CAD,Canada,11 - 20 years,College degree,Woman,41626.520000000004,USD
55,35-44,Engineering or Manufacturing,Water Resources Engineer,106000,USD,United States,11 - 20 years,Master's degree,Woman,106000.0,USD
56,25-34,Government and Public Administration,Program Officer,115000,USD,United States,5-7 years,PhD,Woman,115000.0,USD
57,25-34,Business or Consulting,Account Supervisor,100500,USD,US,5-7 years,College degree,Woman,100500.0,USD
58,25-34,Law,Legal Secretary,33200,USD,US,2 - 4 years,Some college,Woman,33200.0,USD
59,35-44,Government and Public Administration,Policy Lead,52000,GBP,United Kingdom,11 - 20 years,Master's degree,Woman,67780.44,USD
60,25-34,Education (Higher Education),Coordinator,52000,USD,United States,8 - 10 years,College degree,Woman,52000.0,USD
61,25-34,Government and Public Administration,Senior Advisor,79000,CAD,Canada,5-7 years,Master's degree,Woman,63240.29,USD
62,65 or over,Property or Construction,Safety Director,104000,USD,USA,21 - 30 years,College degree,Man,104000.0,USD
63,25-34,Education (Primary/Secondary),Secondary School Educator,75000,CAD,Canada,2 - 4 years,College degree,Woman,60038.25000000001,USD
64,18-24,Biotechnology,Downstream Process Development Research Associate I,52000,USD,United States,2 - 4 years,College degree,Woman,52000.0,USD
65,25-34,Education (Higher Education),Research Programmer,70000,USD,USA,2 - 4 years,Master's degree,Non-binary,70000.0,USD
66,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,USD,United States,5-7 years,Master's degree,Woman,84000.0,USD
67,35-44,Health care,AR Manager,53000,USD,United States,11 - 20 years,Master's degree,Woman,53000.0,USD
68,25-34,Computing or Tech,Technical specialist,34000,USD,United States,5-7 years,College degree,Woman,34000.0,USD
69,25-34,Nonprofits,Programming Coordinator,38000,USD,US,2 - 4 years,Master's degree,Woman,38000.0,USD
70,25-34,Government and Public Administration,City Research Scientist II,87000,USD,United States,2 - 4 years,Master's degree,Man,87000.0,USD
71,35-44,Aerospace contracting,Project engineer ,122000,USD,United States,11 - 20 years,Master's degree,Woman,122000.0,USD
72,25-34,Insurance,Pricing Analyst,45000,GBP,UK,2 - 4 years,Master's degree,Woman,58656.149999999994,USD
73,25-34,Engineering or Manufacturing,Marketing Coordinator,45000,USD,United States,5-7 years,Some college,Woman,45000.0,USD
74,35-44,Computing or Tech,Tech Writer,88000,USD,USA,8 - 10 years,College degree,Woman,88000.0,USD
75,35-44,Nonprofits,Supervisory Archivist,71000,USD,US,8 - 10 years,Master's degree,Woman,71000.0,USD
76,45-54,Education (Higher Education),Program Manager,71000,USD,USA,11 - 20 years,PhD,Woman,71000.0,USD
77,35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000,USD,United States,11 - 20 years,Master's degree,Woman,75000.0,USD
78,35-44,Education (Higher Education),Manager of Market Research and Data,80000,USD,USA,11 - 20 years,Master's degree,Woman,80000.0,USD
79,35-44,Computing or Tech,Senior Business Analyst,125000,USD,US,8 - 10 years,Master's degree,Woman,125000.0,USD
80,35-44,Education (Higher Education),Special Collections Cataloger,65000,USD,United States,11 - 20 years,Master's degree,Woman,65000.0,USD
81,45-54,Education (Primary/Secondary),Teacher ,36000,GBP,Scotland ,21 - 30 years,College degree,Woman,46924.92,USD
82,25-34,Nonprofits,Graphic Designer / Webmaster,55000,USD,U.S.,2 - 4 years,College degree,Woman,55000.0,USD
83,25-34,Art & Design,Senior UX Designer,90000,USD,USA,8 - 10 years,College degree,Woman,90000.0,USD
84,35-44,Engineering or Manufacturing,Senior Engineer ,105000,USD,United States ,5-7 years,College degree,Woman,105000.0,USD
85,35-44,Nonprofits,Office Administrator,60000,CAD,Canada,11 - 20 years,High School,Man,48030.600000000006,USD
86,35-44,Education (Higher Education),Digital Archivist,65000,USD,United States,8 - 10 years,Master's degree,Woman,65000.0,USD
87,25-34,Business or Consulting,Associate Program Manager,85000,USD,USA,2 - 4 years,Master's degree,Woman,85000.0,USD
88,25-34,Sales,CSR,39520,USD,United States ,2 - 4 years,Some college,Woman,39520.0,USD
89,45-54,Computing or Tech,Director of Engineering,115000,CAD,Canada,21 - 30 years,Master's degree,Man,92058.65000000001,USD
90,25-34,Energy,Fuel Efficiency Program Analyst,76000,USD,United States ,5-7 years,College degree,Woman,76000.0,USD
91,55-64,Business or Consulting,Senior Vice President of Marketing,180000,USD,USA,11 - 20 years,Master's degree,Woman,180000.0,USD
92,25-34,"Accounting, Banking & Finance",Accounting Manager,90000,USD,US,5-7 years,Master's degree,Woman,90000.0,USD
93,25-34,Government and Public Administration,Technical Assistant,19300,GBP,United Kingdom,5-7 years,Some college,Man,25156.970999999998,USD
94,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000,USD,US,11 - 20 years,Master's degree,Woman,65000.0,USD
95,45-54,Computing or Tech,senior web application developer,98166,USD,United States,21 - 30 years,College degree,Man,98166.0,USD
96,25-34,Education (Primary/Secondary),Director of Development,63500,USD,United States,1 year or less,Master's degree,Woman,63500.0,USD
97,55-64,Environmental regulation,Quality Assurance Lead,58,USD,USA,8 - 10 years,Master's degree,Woman,58.0,USD
98,25-34,Nonprofits,Program & Administrative Assistant,47700,USD,USA,2 - 4 years,College degree,Woman,47700.0,USD
99,55-64,Computing or Tech,Chief Engineer,87000,USD,USA,31 - 40 years,Some college,Man,87000.0,USD
100,35-44,Media & Digital,Production Co-ordinator,48000,CAD,Canada,8 - 10 years,College degree,Woman,38424.48,USD
101,25-34,Education (Higher Education),Administrative Support Assistant,39635,USD,United States,2 - 4 years,College degree,Woman,39635.0,USD
102,25-34,Government and Public Administration,Administrative Officer,53000,USD,United States,5-7 years,College degree,Man,53000.0,USD
103,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,USD,United States,21 - 30 years,Some college,Woman,47255.0,USD
104,35-44,Property or Construction,Senior Project Manager,196000,USD,United States,11 - 20 years,College degree,Man,196000.0,USD
105,45-54,Health care,Customer Service Representative,34361,USD,USA,11 - 20 years,College degree,Woman,34361.0,USD
106,45-54,Engineering or Manufacturing,Senior Device Engineer,150000,USD,USA,21 - 30 years,College degree,Woman,150000.0,USD
107,25-34,Hospitality & Events,Graphic Designer,75000,USD,United States,5-7 years,College degree,Woman,75000.0,USD
108,35-44,Education (Higher Education),Graduate Student,20000,USD,United States,2 - 4 years,College degree,Woman,20000.0,USD
109,25-34,Computing or Tech,Senior Financial Analyst,107220,USD,US,5-7 years,Master's degree,Woman,107220.0,USD
110,35-44,Government and Public Administration,Case Manager,78000,CAD,Canada,5-7 years,College degree,Woman,62439.780000000006,USD
111,45-54,Education (Higher Education),Professor,95000,USD,USA,11 - 20 years,PhD,Man,95000.0,USD
112,45-54,Sales,Office Manager,42000,USD,USA,11 - 20 years,Master's degree,Woman,42000.0,USD
113,25-34,"Accounting, Banking & Finance",Finance Manager,100000,USD,USA,5-7 years,Master's degree,Woman,100000.0,USD
114,25-34,Computing or Tech,Software engineer,50000,GBP,United Kingdom,2 - 4 years,High School,Man,65173.49999999999,USD
115,35-44,Education (Higher Education),Medical Education Director,119000,USD,USA,8 - 10 years,College degree,Woman,119000.0,USD
116,45-54,"Accounting, Banking & Finance",Finance acountant,66000,GBP,UK,21 - 30 years,Master's degree,Woman,86029.01999999999,USD
117,35-44,Transport or Logistics,Program manager,60000,EUR,The Netherlands,11 - 20 years,Master's degree,Woman,65322.0,USD
118,25-34,Education (Higher Education),Associate Director of Donor Relations,75000,USD,USA,11 - 20 years,College degree,Woman,75000.0,USD
119,35-44,Education (Higher Education),Assistant Professor of Law,145000,USD,United States,2 - 4 years,PhD,Woman,145000.0,USD
120,25-34,"Accounting, Banking & Finance",investment advisor,95000,CAD,Canada,2 - 4 years,College degree,Woman,76048.45000000001,USD
121,25-34,"Marketing, Advertising & PR",Content Writer,48000,USD,United States,5-7 years,Master's degree,Woman,48000.0,USD
122,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000,USD,USA,21 - 30 years,College degree,Woman,75000.0,USD
123,35-44,Media & Digital,Digital Marketing Specialist,42000,USD,United States,11 - 20 years,College degree,Woman,42000.0,USD
124,35-44,Nonprofits,Archivist,54000,USD,US,8 - 10 years,Master's degree,Woman,54000.0,USD
125,35-44,Education (Higher Education),Assistant Professor,92000,CAD,Canada,5-7 years,PhD,Woman,73646.92,USD
126,45-54,Government and Public Administration,Head of Public Sector Data Sharing ,50870,GBP,United Kingdom,11 - 20 years,Master's degree,Woman,66307.5189,USD
127,55-64,Medical Devices,QC Supervisor,60000,USD,USA,31 - 40 years,College degree,Woman,60000.0,USD
128,55-64,Nonprofits,Content Development Manager,101500,USD,United States,21 - 30 years,College degree,Woman,101500.0,USD
129,25-34,Academic research (Psychology),Clinical Research Assistant II,36883,USD,USA,2 - 4 years,College degree,Woman,36883.0,USD
130,25-34,Media & Digital,news editor,85000,USD,USA,11 - 20 years,College degree,Woman,85000.0,USD
131,25-34,Education (Higher Education),Senior Administrative Assistant ,62000,USD,United States,5-7 years,College degree,Woman,62000.0,USD
132,35-44,Computing or Tech,Product Manager,130000,USD,United States,11 - 20 years,College degree,Man,130000.0,USD
133,55-64,Education (Higher Education),career services professional,55000,USD,United States,21 - 30 years,Master's degree,Woman,55000.0,USD
134,25-34,Government and Public Administration,Project Coordinator,59015,USD,United States,8 - 10 years,College degree,Woman,59015.0,USD
135,25-34,Business or Consulting,"Associate Manager, Education",71000,USD,USA,5-7 years,College degree,Woman,71000.0,USD
136,45-54,Social Work,Director,53000,USD,USA,8 - 10 years,Master's degree,Woman,53000.0,USD
137,25-34,public library,Senior Librarian,63000,USD,USA,5-7 years,Master's degree,Woman,63000.0,USD
138,35-44,Engineering or Manufacturing,Project Estimator,95000,USD,United States,21 - 30 years,College degree,Woman,95000.0,USD
139,35-44,Surveying ,Accounts manager ,85000,AUD,Australia ,8 - 10 years,Master's degree,Man,63154.15,USD
140,35-44,Nonprofits,Customer Advocate,35000,USD,United States,11 - 20 years,Some college,Woman,35000.0,USD
141,18-24,Hospitality & Events,Customer Service Specialist,33280,USD,United States,2 - 4 years,College degree,Non-binary,33280.0,USD
142,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000,USD,USA,8 - 10 years,Some college,Woman,56000.0,USD
143,35-44,Education (Higher Education),Associate Director,85000,USD,United States,11 - 20 years,College degree,Woman,85000.0,USD
144,35-44,Education (Higher Education),Editor,62000,USD,United States,11 - 20 years,College degree,Woman,62000.0,USD
145,25-34,Law,Staff Attorney,74000,USD,United States,2 - 4 years,Master's degree,Non-binary,74000.0,USD
146,25-34,Nonprofits,Program Associate,63000,USD,United States,2 - 4 years,College degree,Woman,63000.0,USD
147,25-34,Recruitment or HR,Senior People Advisor,45000,GBP,United Kingdom,8 - 10 years,College degree,Woman,58656.149999999994,USD
148,25-34,Education (Higher Education),English as a Second Language Teacher,18000,EUR,Spain,5-7 years,College degree,Woman,19596.6,USD
149,35-44,Nonprofits,Online Sales Support Manager,86000,USD,United States,8 - 10 years,College degree,Woman,86000.0,USD
150,18-24,PhD,PhD Candidate,19000,GBP,UK,1 year or less,Master's degree,Man,24765.929999999997,USD
151,35-44,Education (Higher Education),Research Technologist,42000,USD,USA,11 - 20 years,Master's degree,Man,42000.0,USD
152,55-64,Biopharma,RIM Manager,114000,USD,US,8 - 10 years,College degree,Man,114000.0,USD
153,45-54,Insurance,Senior Client Service Representative,73000,USD,us,31 - 40 years,High School,Woman,73000.0,USD
154,35-44,Nonprofits,Funding Manager,54000,GBP,UK,11 - 20 years,College degree,Woman,70387.37999999999,USD
155,45-54,Health care,Clinical analyst,100000,USD,Usa,11 - 20 years,Master's degree,Woman,100000.0,USD
156,25-34,Publishing,Editor,27000,GBP,England,5-7 years,College degree,Woman,35193.689999999995,USD
157,18-24,Government and Public Administration,Policy Analyst ,60129,USD,United States,1 year or less,Master's degree,Woman,60129.0,USD
158,45-54,STEM research,Research Scientist,135000,USD,US,11 - 20 years,PhD,Woman,135000.0,USD
159,25-34,Computing or Tech,Service Designer,130000,USD,United States,5-7 years,College degree,Woman,130000.0,USD
160,25-34,Libraries,Librarian,26000,USD,United States,2 - 4 years,Master's degree,Woman,26000.0,USD
161,25-34,"Accounting, Banking & Finance",Senior Accountant,60000,USD,US,5-7 years,Master's degree,Woman,60000.0,USD
162,35-44,Nonprofits,Administrative Assistant,37000,USD,US,5-7 years,College degree,Woman,37000.0,USD
163,25-34,Engineering or Manufacturing,User experience specialist,85000,USD,USA,5-7 years,College degree,Woman,85000.0,USD
164,35-44,Media & Digital,Self-employed writer,45000,USD,USA,11 - 20 years,College degree,Woman,45000.0,USD
165,25-34,Nonprofits,Director of Development,92000,USD,United States,5-7 years,Master's degree,Woman,92000.0,USD
166,25-34,Health care,occupational therapist,35,EUR,finland,2 - 4 years,College degree,Woman,38.1045,USD
167,25-34,Engineering or Manufacturing,Production Technician,65000,USD,United States,2 - 4 years,College degree,Man,65000.0,USD
168,35-44,"Marketing, Advertising & PR",Graphic Designer,35000,USD,United States of America,11 - 20 years,College degree,Woman,35000.0,USD
169,25-34,"Accounting, Banking & Finance",Compliance Officer,74000,USD,United States,5-7 years,College degree,Woman,74000.0,USD
170,25-34,Engineering or Manufacturing,Director of Intelligence,102500,USD,United States,5-7 years,College degree,Man,102500.0,USD
171,25-34,Government and Public Administration,Program Analyst,117500,USD,USA,5-7 years,Master's degree,nan,117500.0,USD
172,35-44,Nonprofits,Coordinator of Survivor Services,70000,USD,USA,11 - 20 years,Master's degree,Woman,70000.0,USD
173,45-54,Computing or Tech,Software Development Manager,140000,USD,USA,11 - 20 years,Some college,Woman,140000.0,USD
174,35-44,Architecture,Project Architect,58000,USD,USA,8 - 10 years,Master's degree,Woman,58000.0,USD
175,35-44,"Marketing, Advertising & PR",Brand Consultant,400000,USD,United States,11 - 20 years,College degree,Woman,400000.0,USD
176,35-44,Nonprofits,HR director,61200,USD,USA,11 - 20 years,Master's degree,Woman,61200.0,USD
177,25-34,"Marketing, Advertising & PR",Marketing Director ,85000,GBP,United Kingdom ,8 - 10 years,College degree,Woman,110794.95,USD
178,25-34,Recruitment or HR,Talent Acquisition Specialist,66000,USD,United States,2 - 4 years,College degree,Woman,66000.0,USD
179,35-44,Computing or Tech,technical support specialist,70000,USD,USA,5-7 years,College degree,Woman,70000.0,USD
180,25-34,Education (Higher Education),Communications Specialist,52000,USD,United States,5-7 years,College degree,Woman,52000.0,USD
181,45-54,Property or Construction,CAD Manager,75500,USD,United States of America,11 - 20 years,Some college,Woman,75500.0,USD
182,25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000,USD,USA,2 - 4 years,Master's degree,Woman,57000.0,USD
183,25-34,Nonprofits,Associate,83200,USD,USA,8 - 10 years,Master's degree,Woman,83200.0,USD
184,18-24,"Marketing, Advertising & PR","Manager, Planning",77500,USD,United States,2 - 4 years,College degree,Woman,77500.0,USD
185,35-44,Retail,Fulfillment Expert,31200,USD,US,1 year or less,College degree,Woman,31200.0,USD
186,25-34,Health care,Midwife,31000,GBP,UK,1 year or less,Master's degree,Woman,40407.57,USD
187,35-44,"Marketing, Advertising & PR",Associate Creative Director,215000,USD,United States,11 - 20 years,College degree,Woman,215000.0,USD
188,25-34,Academic Medicine ,Administrative Specialist,55000,USD,USA,5-7 years,College degree,Man,55000.0,USD
189,45-54,Law,Senior Corporate Counsel,220000,USD,US,11 - 20 years,PhD,Woman,220000.0,USD
190,25-34,Retail,Head of Data & Analytics,100000,USD,US,8 - 10 years,College degree,Woman,100000.0,USD
191,25-34,Computing or Tech,Systems Analyst,80000,USD,United States of America,2 - 4 years,Master's degree,Woman,80000.0,USD
192,35-44,Education (Higher Education),Associate Director ,63000,USD,United States ,8 - 10 years,nan,Woman,63000.0,USD
193,25-34,Education (Higher Education),Librarian,52500,USD,U.S.,5-7 years,Master's degree,Woman,52500.0,USD
194,25-34,Media & Digital,UX designer,36000,EUR,France,2 - 4 years,Master's degree,Woman,39193.2,USD
195,25-34,"Accounting, Banking & Finance",Lead business controls specialist,94000,USD,Usa,2 - 4 years,College degree,Woman,94000.0,USD
196,25-34,Engineering or Manufacturing,Product Engineer,57000,USD,USA,5-7 years,College degree,Woman,57000.0,USD
197,35-44,Computing or Tech,Senior Technical Writer,83000,USD,United States,5-7 years,College degree,Woman,83000.0,USD
198,35-44,Nonprofits,Senior Director,90000,USD,USA,11 - 20 years,College degree,Woman,90000.0,USD
199,35-44,Hospitality & Events,Hotel Sales Manager,66950,USD,USA,5-7 years,College degree,Woman,66950.0,USD
200,25-34,Government and Public Administration,Planner,76000,USD,USA,2 - 4 years,College degree,Woman,76000.0,USD
201,25-34,Engineering or Manufacturing,Principal Engineer,52000,GBP,UK,8 - 10 years,Master's degree,Woman,67780.44,USD
202,25-34,Nonprofits,Information and Program Manager,70000,USD,United States,5-7 years,Master's degree,Woman,70000.0,USD
203,25-34,Education (Higher Education),Assistant Professor,60000,USD,USA,2 - 4 years,PhD,Non-binary,60000.0,USD
204,35-44,Engineering or Manufacturing,Media and PR,80000,USD,United States,11 - 20 years,Master's degree,Woman,80000.0,USD
205,35-44,Nonprofits,Technical assistance provider,70000,USD,US,11 - 20 years,Master's degree,Woman,70000.0,USD
206,25-34,Education (Higher Education),Library Specialist,34299,USD,US,2 - 4 years,Master's degree,Woman,34299.0,USD
207,25-34,Computing or Tech,Strategic Operations and Programme Manager,90000,GBP,United Kingdom,11 - 20 years,Master's degree,Woman,117312.29999999999,USD
208,35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000,USD,US,11 - 20 years,Master's degree,Woman,50000.0,USD
209,35-44,Hospitality & Events,Director of Client Services,85000,USD,United States,5-7 years,College degree,Woman,85000.0,USD
210,35-44,Retail,Loss prevention manager,87000,USD,US,2 - 4 years,High School,Woman,87000.0,USD
211,35-44,Law,Associate Attorney,125000,USD,United States,2 - 4 years,Master's degree,Woman,125000.0,USD
212,35-44,Commercial Real Estate ,Administrative Associate,55000,USD,United States,5-7 years,Some college,Woman,55000.0,USD
213,55-64,Law,Attorney,275000,USD,United States,31 - 40 years,Master's degree,Woman,275000.0,USD
214,25-34,Pet care industry (dog training/walking),Operations Manager,48500,USD,USA,2 - 4 years,College degree,Woman,48500.0,USD
215,35-44,Engineering or Manufacturing,Software engineer,139000,USD,United states,11 - 20 years,College degree,Woman,139000.0,USD
216,25-34,Law,Paralegal / Legal Assistant,54080,USD,United States,11 - 20 years,College degree,Woman,54080.0,USD
217,35-44,Insurance,Manager & Actuary,170000,USD,USA,8 - 10 years,Master's degree,Woman,170000.0,USD
218,25-34,"Marketing, Advertising & PR",Marketing Manager,60000,CAD,Canada,8 - 10 years,College degree,Woman,48030.600000000006,USD
219,45-54,Education (Primary/Secondary),Librarian,70000,USD,USA,11 - 20 years,Master's degree,Man,70000.0,USD
220,25-34,Nonprofits,Communications Associate,53000,USD,United States,2 - 4 years,College degree,Woman,53000.0,USD
221,35-44,Health care,Cytotechnologist ,82160,USD,United States,11 - 20 years,Master's degree,Woman,82160.0,USD
222,25-34,Recruitment or HR,Onboarding Partner,71000,USD,United states,2 - 4 years,College degree,Woman,71000.0,USD
223,18-24,Engineering or Manufacturing,Graduate Research Assitant,25700,USD,USA,5-7 years,College degree,Woman,25700.0,USD
224,25-34,Politics,Deputy C-level,105000,USD,United States,8 - 10 years,College degree,Woman,105000.0,USD
225,35-44,Education (Higher Education),"Librarian, non-supervisory",77000,USD,United States,11 - 20 years,Master's degree,Woman,77000.0,USD
226,35-44,Health care,Content Strategist,50000,USD,USA,5-7 years,Master's degree,Woman,50000.0,USD
227,25-34,University administration,Programme Administrator,25217,GBP,Scotland,5-7 years,College degree,Woman,32869.60299,USD
228,25-34,Government and Public Administration,Public Service Tech,31616,USD,USA,2 - 4 years,College degree,Non-binary,31616.0,USD
229,35-44,Government and Public Administration,EOS,95000,USD,USA,8 - 10 years,Master's degree,Woman,95000.0,USD
230,18-24,Business or Consulting,Data Analyst,62000,USD,United States,1 year or less,College degree,Woman,62000.0,USD
231,35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000,USD,United States,8 - 10 years,College degree,Woman,75000.0,USD
232,25-34,Education (Primary/Secondary),High school teacher ,71000,USD,United States ,5-7 years,College degree,Non-binary,71000.0,USD
233,45-54,Computing or Tech,Business Analyst,88000,USD,USA,11 - 20 years,Master's degree,Woman,88000.0,USD
234,25-34,Property or Construction,Assistant to Property Managers,31500,USD,United States,2 - 4 years,College degree,Woman,31500.0,USD
235,25-34,Health care,IT Training Specialist,76000,USD,USA,2 - 4 years,Master's degree,Woman,76000.0,USD
236,35-44,Health care,Principal Statistical Programmer,165000,USD,USA ,21 - 30 years,College degree,Non-binary,165000.0,USD
237,25-34,"Accounting, Banking & Finance",Reporting Analyst ,45760,USD,United States,2 - 4 years,Some college,Woman,45760.0,USD
238,25-34,"Marketing, Advertising & PR",Communications Manager,86000,USD,United States,5-7 years,College degree,Woman,86000.0,USD
239,25-34,Engineering or Manufacturing,Project Manager,78240,CAD,Canada,5-7 years,Master's degree,Woman,62631.902400000006,USD
240,25-34,Education (Higher Education),Admissions Advisor,56000,USD,United States,5-7 years,Master's degree,Woman,56000.0,USD
241,35-44,Sales,Sales support,23050,GBP,England,8 - 10 years,nan,Woman,30044.9835,USD
242,25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000,USD,United States,2 - 4 years,College degree,Woman,67000.0,USD
243,25-34,Law,Associate,125000,USD,United states ,5-7 years,Master's degree,Woman,125000.0,USD
