Id,age,Industry,job,salary,currency,country,years_field_experience,education,gender,salary_usd,new_currency
26443,25-34,Edtech,Content Manager,27000,GBP,UK,2 - 4 years,College degree,Woman,35193.689999999995,USD
26444,25-34,Computing or Tech,UX Researcher,66000,USD,Usa,2 - 4 years,Master's degree,Woman,66000.0,USD
26445,25-34,Retail mid level management,"General Manager, Inventory Manager",36000,USD,US,11 - 20 years,Some college,Woman,36000.0,USD
26446,35-44,Education (Higher Education),Visiting Assistant Professor of Physics,57000,USD,USA,11 - 20 years,PhD,Man,57000.0,USD
26447,35-44,Computing or Tech,Senior Copywriter,89000,USD,U.S.,8 - 10 years,Master's degree,Woman,89000.0,USD
26448,25-34,Computing or Tech,"Manager, Program Management",115000,USD,United States,5-7 years,College degree,Woman,115000.0,USD
26449,25-34,nan,Digital Marketing Specialist,51000,USD,USA,1 year or less,College degree,Woman,51000.0,USD
26450,35-44,Health care,Staff Assistant III,45760,USD,USA,8 - 10 years,College degree,Woman,45760.0,USD
26451,35-44,Publishing,Project Editor,43000,USD,USA,1 year or less,PhD,Woman,43000.0,USD
26452,25-34,Law,Attorney-Advisor,136776,USD,United States,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,136776.0,USD
26453,25-34,Education (Higher Education),Assistant Editor,38400,USD,USA,8 - 10 years,College degree,Woman,38400.0,USD
26454,35-44,Health care,Nurse ,104000,USD,United States,11 - 20 years,College degree,Woman,104000.0,USD
26455,35-44,Education (Higher Education),Assoicate Library Director,101000,USD,USA,11 - 20 years,Master's degree,Woman,101000.0,USD
26456,35-44,Media & Digital,Senior production editor,56000,USD,USA,8 - 10 years,College degree,Woman,56000.0,USD
26457,35-44,"Marketing, Advertising & PR",Supervisor Project Coordination,63000,USD,United States,21 - 30 years,College degree,Woman,63000.0,USD
26458,35-44,Government and Public Administration,Budget Coordinator,126000,USD,USA,11 - 20 years,Master's degree,Woman,126000.0,USD
26459,25-34,Law,Paralegal ,95000,USD,Us ,8 - 10 years,College degree,Woman,95000.0,USD
26460,25-34,Computing or Tech,software engineer,176000,USD,usa,8 - 10 years,Master's degree,Man,176000.0,USD
26461,35-44,Retail,Book shelver,35000,CAD,Canada,11 - 20 years,College degree,Other or prefer not to answer,28017.850000000002,USD
26462,25-34,Retail,Senior Strategic Sourcing Manager,133000,USD,United States,2 - 4 years,College degree,Woman,133000.0,USD
26463,25-34,Computing or Tech,CX Lead and Scrum Master,87500,USD,United States of America,5-7 years,College degree,Man,87500.0,USD
26464,25-34,Government and Public Administration,Public Health contractor ,57000,USD,US,2 - 4 years,Master's degree,Man,57000.0,USD
26465,35-44,Law,Attorney,160000,USD,United States,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,160000.0,USD
26466,55-64,Sales,Inside sales manager,5000044,USD,Usa,21 - 30 years,Master's degree,Woman,5000044.0,USD
26467,55-64,Sales,Strategic Account Manager,98000,USD,USA,21 - 30 years,College degree,Woman,98000.0,USD
26468,25-34,Business or Consulting,consultant,65000,USD,United States,2 - 4 years,Master's degree,Woman,65000.0,USD
26469,35-44,Health care,Billing Team Lead,37000,USD,USA,11 - 20 years,High School,Woman,37000.0,USD
26470,35-44,Education (Higher Education),Director of Advising and Career ,67000,USD,USA,11 - 20 years,Master's degree,Woman,67000.0,USD
26471,45-54,Engineering or Manufacturing,Human Resources Generalist,62000,USD,US,11 - 20 years,College degree,Woman,62000.0,USD
26472,25-34,Environment and sustainability,Consultant ,27000,GBP,United kingdom,1 year or less,Master's degree,Woman,35193.689999999995,USD
26473,25-34,Transport or Logistics,Software Engineer Intern,112320,USD,USA,1 year or less,College degree,Woman,112320.0,USD
26474,25-34,Health care,Clinical Research Project Manager,66400,USD,United States,5-7 years,Master's degree,Woman,66400.0,USD
